,lat,lng,name,biz_id,address,type_class,type_name,type_custom,hours
74,55.71127,37.652041,Кириллов и партнёры,11176001681,"Россия, Москва, улица Ленинская Слобода, 26, стр. 5",office service,Адвокаты,services,пн-пт 10:30–18:30
75,55.74374,37.629583,Фото-копировальный центр Копирка,217477346177,"Россия, Москва, Большой Овчинниковский переулок, 20",printing services,Полиграфические услуги,services,"пн-пт 10:00–20:55; сб,вс 10:00–18:55"
76,55.750535,37.536526,Нотариус Балышева О. В.,87202691070,"Россия, Москва, 1-й Красногвардейский проезд, 19",office service,Нотариусы,services,пн-чт 10:00–19:00; пт 10:00–18:00
77,55.717742,37.61335,Между Делом,39598108590,"Россия, Москва, улица Шаболовка, 37, стр. 9",cafe,Столовая,cafe,пн-пт 09:00–19:00
78,55.716768,37.552214,Московский Союз бильярдного спорта,76190011940,"Россия, Москва, улица Лужники, 24с1",sportcenter,Спортивное объединение,sport,пн-пт 10:00–18:00
79,55.727567,37.62908,"РЭУ имени Г. В. Плеханова, Международная школа бизнеса и мировой экономики",230163780186,"Россия, Москва, Стремянный переулок, 28, стр. 1",college,Бизнес-школа,business,пн-пт 09:00–19:00; сб 10:00–14:00
80,55.737137,37.642393,Le carré,244028324414,"Россия, Москва, Садовническая улица, 69",restaurants,Ресторан,cafe,"ежедневно, 12:00–23:00"
81,55.752302,37.611175,Достоевский,89314470858,"Россия, Москва, улица Воздвиженка, 1",malls,Книжный магазин,cafe,"ежедневно, 10:00–22:00"
82,55.704271,37.666674,ГБУ ЦД Даниил,144290815758,"Россия, Москва, улица Трофимова, 9к2",fallback fun,Клуб досуга,sport,пн-пт 10:00–21:00
83,55.675961,37.571255,Купи Бизнес - подбор готового бизнеса,41805055625,"Россия, Москва, Нахимовский проспект, 32",office service,Продажа готового бизнеса и франшиз,business,пн-пт 10:00–19:00
84,55.713836,37.617168,Арес,37888267988,"Россия, Москва, Городская улица, 8",fitness,"Спортивный клуб, секция",sport,пн 08:00–22:00; вт 09:00–23:00; ср 08:00–22:00; чт 09:00–23:00; пт 08:00–22:00; сб 09:00–22:00
85,55.657255,37.588476,Риэлтор Селимов А.В.,116018266560,"Россия, Москва, Одесская улица, 14к5",fallback services,Услуги частных специалистов,services,"ежедневно, 09:00–22:00"
86,55.705366,37.639916,Урюк,124113974512,"Россия, Москва, Автозаводская улица, 18",restaurants,Ресторан,cafe,"ежедневно, 10:00–00:00"
87,55.70948,37.624772,Можно с собой,64297960403,"Россия, Москва, Холодильный переулок, 3к1с1",bars,"Бар, паб",cafe,"пн-пт 09:00–22:00; сб,вс 11:00–21:00"
88,55.737785,37.62784,Рихтер,227575980951,"Россия, Москва, Пятницкая улица, 42",restaurants,Ресторан,cafe,"ежедневно, 09:00–23:00"
89,55.719185,37.614007,Бизнес Порт,91173213419,"Россия, Москва, Хавская улица, 3",office service,Деловые услуги для предпринимателей,business,пн-пт 10:00–18:30
90,55.741274,37.652751,Вегетарианский фудкорт Брокколи,148492427362,"Россия, Москва, Таганская площадь, 86/1с1",restaurants,Фудкорт,cafe,пн-чт 10:00–22:00; пт-вс 10:00–23:00
91,55.72598,37.682682,Федерация грэпплинга,96787597095,"Россия, Москва, Волгоградский проспект, 28, стр. 1",fitness,"Спортивный, тренажёрный зал",sport,"ежедневно, 08:00–23:00"
92,55.687661,37.541129,Новатор кофе,166880305842,"Россия, Москва, Ленинский проспект, 70/11",cafe,Кофейня,cafe,"пн-пт 08:00–22:00; сб,вс 09:00–22:00"
93,55.674676,37.52267,Столица,1085461632,"Россия, Москва, Ленинский проспект, 90",medicine,"Медцентр, клиника",medicine,"ежедневно, 08:00–22:00"
94,55.732241,37.58897,Business Lead,218809162005,"Россия, Москва, улица Льва Толстого, 5, стр. 1",office service,Бизнес-консалтинг,business,пн-пт 10:00–18:00
95,55.704681,37.654448,Zero Time,188826821517,"Россия, Москва, Автозаводская улица, 17, стр. 2",bars,"Бар, паб",cafe,"пн-пт 10:00–00:00; сб,вс 11:00–00:00"
96,55.658001,37.556485,Медицинское частное учреждение Отраслевой клинико-диагностический центр ПАО Газпром,1071766196,"Россия, Москва, улица Намёткина, 16, корп. 4",medicine,"Медцентр, клиника",medicine,пн-пт 08:00–20:00; сб 08:30–13:30
97,55.719362,37.606723,Айкидо клуб Каннагаре Додзё,1068695681,"Россия, Москва, улица Академика Петровского, 10",fitness,"Спортивный клуб, секция",sport,пн 17:00–22:00; ср 20:00–22:00; пт 17:00–22:00
98,55.721699,37.611734,Surf Coffee,143531603665,"Россия, Москва, Конный переулок, 12",cafe,Кофейня,cafe,"пн-пт 08:00–22:00; сб,вс 10:00–22:00"
99,55.738926,37.605346,Kontier,244902332745,"Россия, Москва, Пречистенская набережная, 15, стр. 2",spa,Салон красоты,beauty,"ежедневно, 10:00–22:00"
100,55.747771,37.715943,Секция боевого самбо Факел,20620365879,"Россия, Москва, 2-й Кабельный проезд, 1",fitness,"Спортивный клуб, секция",sport,"пн,ср,пт,сб,вс 16:00–18:00"
101,55.707872,37.617051,Канрит,1112390060,"Россия, Москва, Малая Тульская улица, 16",fitness,"Спортивный клуб, секция",sport,"ежедневно, 08:00–22:00"
102,55.74692,37.538825,See Beauty,225002515824,"Россия, Москва, Пресненская набережная, 8, стр. 1",spa,Салон красоты,beauty,"пн-пт 09:00–21:00; сб,вс 10:00–21:00"
103,55.741794,37.582538,Нотариус Прилепская Е. А.,1015993678,"Россия, Москва, Смоленский бульвар, 15",office service,Нотариусы,services,пн-пт 09:00–17:00
104,55.733239,37.563709,Zemlya Moscow,135570656075,"Россия, Москва, Большой Саввинский переулок, 12, стр. 6",restaurants,Ресторан,cafe,"ежедневно, 12:00–00:00"
105,55.679033,37.547797,Студия маникюра Елены Петрушиной,1727214300,"Россия, Москва, улица Вавилова, 79, корп. 1",spa,Ногтевая студия,beauty,"ежедневно, 10:00–21:00"
106,55.674864,37.734623,Контент Фактори,130656866638,"Россия, Москва, Егорьевский проезд, 3Ж, стр. 8",fallback services,Фотостудия,services,пн-пт 10:00–19:00
107,55.751999,37.576133,Корпорация эстетической медицины,1245573342,"Россия, Москва, улица Новый Арбат, 31/12",fallback services,Распространители косметики и бытовой химии,medicine,пн-пт 10:00–18:00
108,55.743872,37.626888,Нотариус Акимов Г.Б.,1053534596,"Россия, Москва, Пятницкая улица, 6/1с8",office service,Нотариусы,services,пн-чт 10:00–20:00; пт 10:00–17:00; сб 11:00–15:00
109,55.740572,37.635776,Пати Фитнес,51748748906,"Россия, Москва, Озерковский переулок, 7, стр. 1",fitness,Фитнес-клуб,sport,"ежедневно, 08:00–23:00"
110,55.746608,37.608733,Квартирное бюро 24,199093672284,"Россия, Москва, Пречистенская набережная, 45/1с2А",office service,Агентство недвижимости,services,"ежедневно, 09:00–21:00"
111,55.713189,37.606198,Салон красоты Леди Shine,1047401633,"Россия, Москва, улица Шаболовка, 52",spa,Салон красоты,beauty,"ежедневно, 10:00–21:00"
112,55.675947,37.661914,Гвоздь-2,65780993579,"Россия, Москва, проспект Андропова, 36",malls,Торговый центр,malls,"ежедневно, 10:00–21:00"
113,55.677272,37.577087,Салон Город Красоты,77773406864,"Россия, Москва, улица Кржижановского, 24/35к2",spa,Салон красоты,beauty,пн-сб 09:00–21:00; вс 09:00–20:00
114,55.711266,37.652506,Симонов Плаза,1324290868,"Россия, Москва, улица Ленинская Слобода, 26, стр. 5",office,Бизнес-центр,business,"ежедневно, 08:00–22:00"
115,55.726136,37.637629,Проекты для бизнеса. Учебно-консалтинговый центр,224207975238,"Россия, Москва, Дубининская улица, 27, стр. 1",office service,Бизнес-консалтинг,business,"ежедневно, 09:00–23:00"
116,55.695824,37.551367,Эридан-92,185872641654,"Россия, Москва, Университетский проспект, 3",fitness,"Спортивный клуб, секция",sport,"ежедневно, 17:30–22:00"
117,55.684498,37.624085,Нотариус Радинский С. А.,126788943823,"Россия, Москва, Варшавское шоссе, 39",office service,Нотариусы,services,"пн-пт 09:30–18:00, перерыв 13:00–13:30"
118,55.704524,37.615371,Loft Beauty,1292025221,"Россия, Москва, Духовской переулок, 17с11",spa,Салон красоты,beauty,"ежедневно, 10:00–22:00"
119,55.72091,37.650819,Корус Консалтинг,1100944171,"Россия, Москва, Дербеневская набережная, 11, корп. А",office service,Бизнес-консалтинг,business,пн-пт 09:00–18:00
120,55.721186,37.610624,Star Hit Cafe,1399440972,"Россия, Москва, улица Шаболовка, 31Г",cafe,Кофейня,cafe,"пн-пт 07:00–22:00; сб,вс 10:00–22:00"
121,55.752416,37.642863,Рескор,159411059370,"Россия, Москва, Певческий переулок, 1/2с2Б",office service,Агентство недвижимости,services,пн-пт 10:00–20:00
122,55.703985,37.626061,Кварталы,45736665546,"Россия, Москва, Варшавское шоссе, 1с1",office service,Квартиры в новостройках,services,пн-пт 10:00–20:00
123,55.71801,37.673106,Бест Компани,84389561954,"Россия, Москва, Шарикоподшипниковская улица, 22",office service,Агентство недвижимости,services,"ежедневно, 10:00–23:00"
124,55.70628,37.681664,Кожуховский самбист,1050368136,"Россия, Москва, 5-я Кожуховская улица, 35",fitness,"Спортивный клуб, секция",sport,пн-пт 19:00–21:00
125,55.708303,37.652813,Be Beauty Special,186778863478,"Россия, Москва, улица Ленинская Слобода, 19",spa,Косметология,beauty,"ежедневно, 09:00–22:00"
126,55.678758,37.640596,Imagine Plaza,1348426746,"Россия, Москва, Нагатинская улица, 16",office service,Бизнес-консалтинг,business,пн-пт 09:00–18:00
127,55.740735,37.547046,Медикъ,232370565676,"Россия, Москва, улица Дунаевского, 8, корп. 2",medicine,"Медцентр, клиника",medicine,"ежедневно, 08:00–22:00"
128,55.74267,37.543063,Торговый дом Москва,1059476587,"Россия, Москва, Кутузовский проспект, 31",malls,Торговый центр,malls,"ежедневно, 11:00–22:00"
129,55.750976,37.597332,Студия красоты Teddy Nails,56455682869,"Россия, Москва, Большой Афанасьевский переулок, 36, стр. 1",spa,Ногтевая студия,beauty,"ежедневно, 10:00–22:00"
130,55.734107,37.571892,Клиника колопроктологии и малоинвазивной хирургии Сеченовского университета,1002030950,"Россия, Москва, Погодинская улица, 1, стр. 1",medicine,Специализированная больница,medicine,пн-сб 08:00–19:00
131,55.72528,37.607754,Нотариус Алексеева С.А,227022742498,"Россия, Москва, Донская улица, 4, стр. 3",office service,Нотариусы,services,пн-пт 09:30–18:00
132,55.708354,37.652705,Place For Work,66421831368,"Россия, Москва, улица Ленинская Слобода, 19",office service,Агентство недвижимости,services,пн-пт 10:00–19:00
133,55.729234,37.633353,Зацепа. 21,54348638728,"Россия, Москва, улица Зацепа, 21с2",fitness,"Спортивный клуб, секция",sport,"ежедневно, 07:00–23:00"
134,55.721138,37.64772,Бизнес-парк Кожевники,176627785125,"Россия, Москва, Дербеневская улица, 20",office service,Продажа и аренда коммерческой недвижимости,business,пн-пт 09:00–18:00
135,55.710418,37.686491,Business-market. Store,162243986866,"Россия, Москва, Угрешская улица, 2, стр. 76",fallback services,Кассовые аппараты и расходные материалы,business,"ежедневно, 10:00–23:00"
136,55.676179,37.536203,Радуга,29303308223,"Россия, Москва, улица Гарибальди, 6, корп. 1",fallback services,Фотоуслуги,services,пн-чт 10:00–19:00; пт 10:00–18:00; сб 10:00–15:00
137,55.752248,37.596438,Валдай,1025140309,"Россия, Москва, улица Новый Арбат, 11, стр. 1",malls,Торговый центр,malls,"ежедневно, 10:00–21:00"
138,55.744774,37.659865,Premium Beauty,1398539583,"Россия, Москва, улица Станиславского, 11",hairdressers,Парикмахерская,beauty,"пн-пт 09:00–22:00; сб,вс 10:00–22:00"
139,55.718044,37.598047,Lamazi,1216087785,"Россия, Москва, Малая Калужская улица, 15, стр. 4",restaurants,Ресторан,cafe,"ежедневно, 10:00–23:00"
140,55.746437,37.628398,L.A.B Space,57800322633,"Россия, Москва, Садовническая набережная, 7",fitness,Фитнес-клуб,sport,"пн-пт 10:00–22:00; сб,вс 10:00–16:00"
141,55.693638,37.557342,Бодисферум,1286891179,"Россия, Москва, улица Дмитрия Ульянова, 4к1",spa,Косметология,beauty,"ежедневно, 09:00–21:00"
142,55.710672,37.615057,EvoPhoto,1204274629,"Россия, Москва, улица Серпуховский Вал, 7, стр. 3",fallback services,Фотоуслуги,services,"ежедневно, 09:00–21:00"
143,55.746056,37.634047,Центр поддержки бизнеса,1077727779,"Россия, Москва, Садовническая улица, 32, стр. 1",office service,Оценочная компания,business,пн-пт 10:00–18:00
144,55.690654,37.579744,Бассейн школы №45,1121044574,"Россия, Москва, улица Гримау, 8",swimming pool,Бассейн,sport,"пн-чт 07:00–21:45; пт 07:00–18:45; сб,вс 08:45–14:00"
145,55.661917,37.602436,Нотариус Семенникова Л. Г.,193560855506,"Россия, Москва, Сивашская улица, 4, корп. 2",office service,Нотариусы,services,пн-пт 10:00–18:00
146,55.717467,37.61273,I Do Calisthenics,221868689664,"Россия, Москва, улица Шухова, 14, стр. 9",fitness,Фитнес-клуб,sport,"ежедневно, 10:00–23:00"
147,55.749511,37.537083,Импульс Недвижимость,13935394321,"Россия, Москва, Пресненская набережная, 12",office service,Агентство недвижимости,services,пн-пт 08:00–21:00
148,55.711223,37.632627,Masters,41411296681,"Россия, Москва, Дубининская улица, 71",fitness,Фитнес-клуб,sport,"пн-пт 06:00–23:00; сб,вс 09:00–23:00"
149,55.68085,37.662863,CherryTown,20145935172,"Россия, Москва, проспект Андропова, 26",spa,Шугаринг,beauty,"ежедневно, 10:00–22:00"
150,55.677159,37.695348,Gymrush,23416258503,"Россия, Москва, Коломенская улица, 21, корп. 3",fitness,"Спортивный клуб, секция",sport,пн-пт 08:00–22:00; сб 09:00–17:00
151,55.721816,37.628556,Агентство Мьюзик Вижн,1046923998,"Россия, Москва, 1-й Щипковский переулок, 1",office service,Элитная недвижимость,services,пн-пт 11:00–19:00
152,55.720489,37.615452,U. B. C. Corporation,1350814217,"Россия, Москва, Мытная улица, 46, стр. 5",office service,Бизнес-консалтинг,business,пн-пт 09:00–18:00
153,55.688351,37.56992,City Nails,28911382025,"Россия, Москва, улица Дмитрия Ульянова, 16, корп. 1",spa,Ногтевая студия,beauty,"ежедневно, 10:00–22:00"
154,55.745254,37.653836,Эстетика,148531184939,"Россия, Москва, улица Земляной Вал, 68/18с5",spa,Салон бровей и ресниц,beauty,"ежедневно, 09:30–00:00"
155,55.678815,37.580581,Дворец творчества детей и молодёжи Севастополец,124843312308,"Россия, Москва, Большая Черёмушкинская улица, 38",college,Дополнительное образование,sport,"ежедневно, 09:00–21:00"
156,55.724069,37.580436,Недвижимость в Хамовниках,243116228858,"Россия, Москва, 2-я Фрунзенская улица, 12",office service,Агентство недвижимости,services,"пн-пт 09:00–20:00; сб,вс 10:00–18:00"
157,55.668541,37.591793,Нахимовский,1305086043,"Россия, Москва, Нахимовский проспект, 20А",malls,Торговый центр,malls,"ежедневно, 06:00–23:00"
158,55.656275,37.540598,Калужский,1039696501,"Россия, Москва, Профсоюзная улица, 61А",malls,Торговый центр,malls,"ежедневно, 10:00–22:00"
